posicao,id_municipio,uf,n_alunos_avaliados,risco_medio,taxa_alfabetizacao_real,inse_municipio,gap_meta_2030
298,290390,BA,303,0.7366267604886381,35.973597359735976,4.3163888888888895,-45.78959566787004
299,150750,PA,77,0.73642770323916,38.961038961038966,4.278333333333332,-45.47770992366412
300,292250,BA,27,0.7362975581286229,22.22222222222222,4.368461538461539,
301,120017,AC,26,0.7362514931582326,46.15384615384615,4.386666666666667,
302,330350,RJ,2495,0.7362262840828485,33.74749498997996,4.789504950495048,-46.67383181277271
303,293300,BA,35,0.7360513578900838,25.71428571428571,4.455333333333334,-45.39416666666666
304,290980,BA,204,0.7360069484268769,36.76470588235294,4.495555555555557,-45.896892980437286
305,280100,SE,49,0.7359966427280293,26.53061224489796,4.446000000000001,-46.45370666666667
306,170560,TO,25,0.7358519799119633,32.0,4.53,-46.6265306122449
307,150460,PA,119,0.7357989468303493,34.45378151260504,4.121666666666666,-45.396868686868686
308,292820,BA,91,0.7357489301844174,32.967032967032964,4.302941176470589,-45.61721238938053
309,290160,BA,33,0.7357331465087059,36.36363636363637,4.234285714285714,-46.29151515151515
310,170030,TO,32,0.7353744796188834,43.75,4.7,-46.52513698630137
311,290780,BA,59,0.735371072456505,25.423728813559322,4.257499999999999,-46.37135048231511
312,293040,BA,31,0.7350552721673259,32.25806451612903,4.227500000000001,-45.7975
313,280050,SE,67,0.7347161296319279,37.3134328358209,4.487500000000001,-45.4676
314,220987,PI,24,0.7346686585836667,33.33333333333333,4.18,-47.41610687022901
315,290340,BA,79,0.7339217422703747,35.44303797468354,4.423333333333333,-45.087457627118646
316,220790,PI,153,0.7338884140901789,35.294117647058826,4.146956521739129,-47.01365605095541
317,211227,MA,35,0.7338349663859558,37.142857142857146,4.048571428571428,-44.555844155844156
318,150375,PA,78,0.7332215872823635,28.205128205128204,4.55,
319,220770,PI,611,0.7331965190701342,36.00654664484452,4.357142857142857,-45.30379182156134
320,220440,PI,58,0.7331316462826687,37.93103448275862,4.3100000000000005,-44.52416342412451
321,280570,SE,82,0.7329717880846469,29.268292682926827,4.443846153846154,-47.28090909090909
322,290540,BA,98,0.7329334074901526,37.755102040816325,4.308333333333334,-45.12422535211268
323,172210,TO,55,0.7322697537356627,38.18181818181819,4.711666666666666,-47.27454545454545
324,291290,BA,75,0.7319157640843109,36.0,4.431818181818182,-44.879023136246786
325,292390,BA,52,0.7318224477298786,32.69230769230769,4.35,-50.97041198501872
326,220667,PI,26,0.7316165702681587,34.61538461538461,3.9949999999999997,-46.1750289017341
327,290650,BA,225,0.731469947583265,31.555555555555554,4.540857142857144,-45.455115207373275
